id,repository,number,title,body,status,commits,additions,deletions,files,create_date
1,DandyDev/gapi-php,2,Namespaces,Added namespaces implementation and improved code style and phpdoc,merged,6,228,179,4,2013-06-07 01:04:41
2,fabpot/Pimple,75,Remove unused argument,Remove unused argument in protect method,closed,1,1,1,1,2013-07-01 01:09:21
3,vladkens/VK,3,опечатка,опечатка,merged,1,1,1,1,2013-03-14 10:39:06
4,vladkens/VK,5,Added namespaces,Added namespaces support,closed,1,16,6,3,2013-07-01 03:38:20
5,vladkens/VK,6,Base URLs moved into class constants,Base URLs moved into class constants,merged,3,11,8,1,2013-07-02 23:16:05
6,fuel/core,1484,Improved documentation,"",merged,1,354,135,13,2013-07-16 00:41:06
7,less/old-lesscss.org,94,Up version to actual (v1.4.2),"",merged,1,2,2,1,2013-09-19 08:17:35
8,spekkionu/htmlpurifier,1,"Updated version to 4.5.0, added information about authors","",merged,1,20,6,1,2013-09-21 01:46:29
9,pyrocms/pyrocms,3010,Correct redirect for Apache2 on Windows,At Apache2/Windows redirect dont`t work correctly. Instead redirect happens refrash.,closed,2,47,0,1,2013-09-26 09:32:36
10,imagecms/ImageCMS,71,"Added $site_keywords, $site_description & $meta_noindex vars into the carporate template","",closed,2,4,1,1,2013-09-29 10:38:43
11,imagecms/ImageCMS,74,Добавлены пробелы между словами в логе,"",closed,1,4,4,1,2013-10-11 02:45:26
12,morrisonlevi/Ardent,18,Corrected LinkedList::offsetExists for empty list,Corrected LinkedList::offsetExists for empty list,closed,2,5,1,1,2013-11-21 03:56:50
13,vhf/free-programming-books,632,Added books about Linux,Added books about Linux,closed,1,2,0,1,2014-01-17 11:59:24
14,yiisoft/yii,3180,Fix duplicate apply_time field SQL error in DB.,"When we do a few little megration (less than 1 sec long), we get the duplicate values error in the 'apply_time' field.
I think the change of timeformat (accurate to the microseconds) would solve this problem. But not to break backward compatibility I suggest to do ""sleep(1)"" for 1 second during the any mergation up process.
In this case the timestamp would be different.",closed,1,2,1,1,2014-01-25 08:12:07
16,agat/css-framework,12,"Исправленна подсветка для активных элементов форм f-valid, f-invalid","Исправленна подсветка для активных элементов форм f-valid, f-invalid.",open,2,11,1,1,2013-11-17 10:46:02
17,agat/css-framework,13,Обновил версию до 4.0.2,"",open,2,3,3,2,2013-11-29 01:59:53
